Public_Food_Key,Food_Survey_ID,Food_Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Total_Fat,Alcohol,Total sugars,Added sugars,Calcium (Ca),Sodium (Na),Vitamin C,Vitamin E
F003305,13401,"Croissant, plain",1505,1478,27.6,10,19.1,0,5.1,5.1,40,462,0,0.25
F006493,13405,"Pastry, filled with spinach & cheese, purchased frozen, baked",1215,1195,44.1,9.4,16.4,0,2.7,0,150,490,0,0.8
F006493,13405,"Pastry, filled with spinach & cheese, purchased frozen, baked",1215,1195,44.1,9.4,16.4,0,2.7,0,150,490,0,0.8
F006665,13405,"Pie, savoury, meat, commercial, ready to eat",943,924,52.5,8.9,11.2,0,1.3,1.2,15,501,0,0.42
F006665,13405,"Pie, savoury, meat, commercial, ready to eat",943,924,52.5,8.9,11.2,0,1.3,1.2,15,501,0,0.42
F006667,13405,"Pie, savoury, meat, purchased frozen, baked",910,893,53.4,8.6,11.3,0,0,0,15,478,2,0.28
F006667,13405,"Pie, savoury, meat, purchased frozen, baked",910,893,53.4,8.6,11.3,0,0,0,15,478,2,0.28
F008098,13405,"Sausage roll, commercial, ready to eat",1179,1155,44.4,9.7,14.3,0,2.8,1.9,24,667,0,0.45
F008098,13405,"Sausage roll, commercial, ready to eat",1179,1155,44.4,9.7,14.3,0,2.8,1.9,24,667,0,0.45
F008101,13405,"Sausage roll, purchased frozen, baked",1118,1094,43.1,9.7,12.7,0,2.8,1.9,19,628,0,0.45
F008101,13405,"Sausage roll, purchased frozen, baked",1118,1094,43.1,9.7,12.7,0,2.8,1.9,19,628,0,0.45
F008794,13406,"Spring roll, meat & vegetable filling, commercial, deep fried",1047,1025,50.4,7.5,11.7,0,4.3,3,26,501,1,1.2
F008794,13406,"Spring roll, meat & vegetable filling, commercial, deep fried",1047,1025,50.4,7.5,11.7,0,4.3,3,26,501,1,1.2
F006679,13402,"Pie, sweet, apple, commercial",1059,1048,49.7,3,12.9,0,15.1,10.6,18,200,37,1.24
F009102,13403,"Tart, custard, commercial",1015,1007,45.6,6.3,10.7,0,11.4,10.2,74,270,0,0.71
